192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002534
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002532
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.002672
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.002478
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.004303
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002597
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002541
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002592
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.002495
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002485
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002627
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002874
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002804
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002528
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002626
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.002504
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.002535
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002623
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.011884
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.002523
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002486
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002666
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/js/typeahead.min.js, HTTP/1.1, 200, 0.003216
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002654
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002513
192.168.0.116, 2015-10-29 19:56:09, GET, /admin/static/_2.12.3/js/ajax_editor.js, HTTP/1.1, 200, 0.002630
192.168.0.116, 2015-10-29 19:56:10, GET, /admin/static/_2.12.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.002639
192.168.0.116, 2015-10-29 19:56:10, GET, /admin/static/_2.12.3/images/files_toggle.png, HTTP/1.1, 200, 0.002647
192.168.0.116, 2015-10-29 19:56:10, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002572
192.168.0.116, 2015-10-29 19:56:10, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.332109
192.168.0.116, 2015-10-29 19:56:10, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.288047
192.168.0.116, 2015-10-29 19:56:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.500159
192.168.0.116, 2015-10-29 19:56:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001793
192.168.0.116, 2015-10-29 19:56:11, GET, /admin/static/_2.12.3/images/save_icon.png, HTTP/1.1, 200, 0.016113
192.168.0.116, 2015-10-29 19:56:12, GET, /admin/default/files_menu, HTTP/1.1, 200, 1.002352
192.168.0.116, 2015-10-29 19:56:12, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.921217
192.168.0.116, 2015-10-29 19:56:12, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.911575
192.168.0.116, 2015-10-29 19:56:35, GET, /admin/default/index, HTTP/1.1, 303, 0.035872
192.168.0.116, 2015-10-29 19:56:35, GET, /admin/default/site, HTTP/1.1, 200, 0.531789
192.168.0.116, 2015-10-29 19:56:36, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.002867
192.168.0.116, 2015-10-29 19:56:36, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.002758
192.168.0.116, 2015-10-29 19:56:36, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002513
192.168.0.116, 2015-10-29 19:56:37, GET, /favicon.ico, HTTP/1.1, 400, 0.001720
192.168.0.116, 2015-10-29 19:56:37, POST, /admin/default/check_version, HTTP/1.1, 200, 1.019701
192.168.0.116, 2015-10-29 19:56:43, GET, /examples/default/index, HTTP/1.1, 200, 2.400459
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.007508
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.007062
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.006466
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.007459
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.005971
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.012363
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.016370
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002709
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.007488
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.002662
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.008472
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.007416
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.005849
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.010894
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.014338
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.010226
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.012468
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.003693
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.031223
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.003401
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.002807
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.019716
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.017470
192.168.0.116, 2015-10-29 19:56:44, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.025564
192.168.0.116, 2015-10-29 19:56:46, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.002664
192.168.0.116, 2015-10-29 19:56:57, GET, /admin/default/site, HTTP/1.1, 200, 1.049225
192.168.0.116, 2015-10-29 19:56:57, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.011797
192.168.0.116, 2015-10-29 19:56:57, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.006787
192.168.0.116, 2015-10-29 19:56:57, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.007159
192.168.0.116, 2015-10-29 19:56:57, GET, /favicon.ico, HTTP/1.1, 400, 0.005650
192.168.0.116, 2015-10-29 19:57:01, GET, /welcome/default/index, HTTP/1.1, 200, 1.136217
192.168.0.116, 2015-10-29 19:57:01, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006839
192.168.0.116, 2015-10-29 19:57:02, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.007224
192.168.0.116, 2015-10-29 19:57:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.006892
192.168.0.116, 2015-10-29 19:57:02, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.006891
192.168.0.116, 2015-10-29 19:57:02, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.008544
192.168.0.116, 2015-10-29 19:57:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.006702
192.168.0.116, 2015-10-29 19:57:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.007846
192.168.0.116, 2015-10-29 19:57:02, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.006772
192.168.0.116, 2015-10-29 19:57:02, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.006924
192.168.0.116, 2015-10-29 19:57:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007022
192.168.0.116, 2015-10-29 19:57:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.007060
192.168.0.116, 2015-10-29 19:57:02, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.007361
192.168.0.116, 2015-10-29 19:57:03, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.002800
192.168.0.116, 2015-10-29 19:57:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002907
192.168.0.116, 2015-10-29 19:57:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002766
192.168.0.116, 2015-10-29 19:57:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002618
192.168.0.116, 2015-10-29 19:57:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.007085
192.168.0.116, 2015-10-29 19:57:11, GET, /admin/default/edit/welcome/models/menu.py, HTTP/1.1, 200, 0.380514
192.168.0.116, 2015-10-29 19:57:11, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.005175
192.168.0.116, 2015-10-29 19:57:11, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002688
192.168.0.116, 2015-10-29 19:57:11, GET, /admin/static/_2.12.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.005907
192.168.0.116, 2015-10-29 19:57:11, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.003782
192.168.0.116, 2015-10-29 19:57:11, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002742
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.003024
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.003640
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.003092
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002493
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002918
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.012348
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003023
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.013028
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002783
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002707
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.002782
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.003178
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.020876
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002998
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.006039
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.003548
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002907
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.002585
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.012356
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.004132
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002574
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.006452
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.004210
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.011548
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/js/ajax_editor.js, HTTP/1.1, 200, 0.002593
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/js/typeahead.min.js, HTTP/1.1, 200, 0.002760
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.002886
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.004253
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.005653
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003508
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002677
192.168.0.116, 2015-10-29 19:57:12, GET, /admin/static/_2.12.3/images/files_toggle.png, HTTP/1.1, 200, 0.010888
192.168.0.116, 2015-10-29 19:57:13, GET, /admin/default/edit/welcome/models/menu.py, HTTP/1.1, 200, 0.370026
192.168.0.116, 2015-10-29 19:57:14, GET, /favicon.ico, HTTP/1.1, 400, 0.001938
192.168.0.116, 2015-10-29 19:57:14, GET, /admin/static/_2.12.3/images/save_icon.png, HTTP/1.1, 200, 0.004573
192.168.0.116, 2015-10-29 19:57:14, GET, /admin/default/files_menu, HTTP/1.1, 200, 1.954360
192.168.0.116, 2015-10-29 19:57:15, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 2.543727
192.168.0.116, 2015-10-29 19:57:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 3.159661
192.168.0.116, 2015-10-29 19:57:16, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 2.691155
192.168.0.116, 2015-10-29 19:57:30, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 17.707264
192.168.0.116, 2015-10-29 19:57:35, GET, /welcome/default/index, HTTP/1.1, 200, 12.159868
192.168.0.116, 2015-10-29 19:57:36, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006583
192.168.0.116, 2015-10-29 19:57:36, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.005972
192.168.0.116, 2015-10-29 19:57:36, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.015916
192.168.0.116, 2015-10-29 19:57:36, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.007110
192.168.0.116, 2015-10-29 19:57:36, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.006921
